Bsal angiosperms	Magnoliidea	Monocotyledoneae	Eudicotyledoneae
105	541	81	133
343	325	11	157
170	189	41	233
131	378	108	33
	21	769	119
		344	71
		434	138
		505	134
		453	120
		322	114
		285	317
		464	98
		435	125
		208	65
		642	97
		330	218
		456	117
		178	201
		393	79
		577	95
		413	97
		194	193
		1106	262
		357	88
		2298	8
		538	100
		1321	279
		244	302
		130	149
		760	335
		482	16
		391	0
		446	42
		325	89
		168	322
		767	171
		35	298
		145	86
		147	209
		242	256
		184	105
		290	393
		360	323
		346	305
		167	723
		143	864
		262	200
		85	360
		135	255
		536	312
		399	219
		109	447
		89	367
		174	777
		64	128
		42	432
		62	770
		47	676
		160	414
		14	16
		5	15
		42	738
		78	611
		167	1839
		86	319
			162
			104
			132
			66
			312
			81
			352
			156
			408
			938
			117
			302
			149
			191
			3
			43
			46
			136
			46
			445
			42
			75
			69
			57
			30
			13
			15
			58
			73
			76
			84
			81
			54
			760
			287
			105
			107
			397
			430
			277
			820
			340
			133
			89
			167
			445
			78
			223
			52
			47
			432
			369
			110
			325
			664
			562
			141
			267
			271
			220
			449
			231
			270
			742
			311
			191
			697
			522
			436
			381
			470
			387
			838
			366
			760
			417
			498
			1202
			247
			160
			205
			145
			307
			256
			1021
			297
			809
			17
			188
			24
			361
			206
			164
			150
			84
			151
			1148
			197
			294
			160
			356
			70
			198
			87
			137
			381
			90
			78
			442
			1051
			1484
			898
			215
			189
			33
			50
			193
			166
			308
			302
			487
			348
			289
			616
			192
			263
			279
			131
			218
			185
			119
			212
			130
			270
			239
			56
			39
			270
			448
			661
			716
			211
			306
			376
			42
			128
			208
			756
			117
			166
			803
			1790
			237
			429
			529
			84
			74
			132
			131
			154
			110
			368
			252
			568
			180
			54
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
