total,CNL,TNL,RNL,NRG1,ADR1
105,89,15,1,1,0
343,241,89,13,4,9
170,84,72,14,4,10
131,40,73,18,4,14
541,538,0,3,0,3
325,324,0,1,0,1
189,186,0,3,0,3
378,373,3,2,0,2
21,21,0,0,0,0
81,81,0,0,0,0
11,11,0,0,0,0
41,41,0,0,0,0
108,108,0,0,0,0
769,768,0,1,0,1
344,342,0,2,0,2
434,433,0,1,0,1
505,504,0,1,0,1
453,452,0,1,0,1
322,321,0,1,0,1
285,284,0,1,0,1
464,463,0,1,0,1
435,434,0,1,0,1
208,208,0,0,0,0
642,641,0,1,0,1
330,329,0,1,0,1
456,455,0,1,0,1
178,177,0,1,0,1
393,392,0,1,0,1
577,575,0,2,0,2
413,411,0,1,0,1
194,193,0,1,0,1
1106,1104,0,2,0,2
357,354,0,3,0,3
2298,2295,0,3,0,3
538,537,0,1,0,1
1321,1319,0,2,0,2
244,243,0,1,0,1
130,129,0,1,0,1
760,759,0,1,0,1
482,480,0,2,0,2
391,390,0,1,0,1
446,445,0,1,0,1
325,324,0,1,0,1
168,168,0,0,0,0
767,764,0,3,0,3
35,34,0,1,0,1
145,143,0,2,0,2
147,145,0,2,0,2
242,238,0,4,0,4
184,182,0,2,0,2
290,288,0,2,0,0
360,359,0,1,0,1
346,344,0,2,0,2
167,166,0,1,0,1
143,142,0,1,0,1
262,261,0,1,0,1
85,85,0,0,0,0
135,134,0,1,0,1
536,534,0,2,0,2
399,397,0,2,0,2
109,108,0,1,0,1
89,88,0,1,0,1
174,173,0,1,0,1
64,63,0,1,0,1
42,42,0,0,0,0
62,61,0,1,0,1
47,46,0,1,0,1
160,159,0,1,0,1
14,13,0,1,0,1
5,5,0,0,0,0
42,42,0,0,0,0
78,78,0,0,0,0
167,166,0,1,0,1
86,85,0,1,0,1
133,123,5,5,2,3
157,125,19,13,11,2
233,232,0,1,0,1
33,31,0,2,2,0
119,108,9,2,1,1
71,71,0,0,0,0
138,138,0,0,0,0
134,132,1,1,0,1
120,118,1,1,0,1
114,112,1,1,0,1
317,312,3,2,0,2
98,96,1,1,0,1
125,122,1,2,0,2
65,61,3,1,0,1
97,85,11,1,0,1
218,212,3,3,0,3
117,113,1,3,0,3
201,198,2,1,0,1
79,78,0,1,0,1
95,79,12,4,3,1
97,92,1,4,2,2
193,158,31,4,2,2
262,236,22,4,2,2
88,84,1,3,2,1
8,4,2,2,2,0
100,54,44,2,1,1
279,149,124,6,4,2
302,255,43,4,3,1
149,140,3,6,4,2
335,324,5,6,5,1
16,16,0,0,0,0
0,0,0,0,0,0
42,42,0,0,0,0
89,88,0,1,0,1
322,320,0,2,0,2
171,170,0,1,0,1
298,282,5,11,8,3
86,85,0,1,0,1
209,205,3,1,0,1
256,231,23,2,1,1
105,104,0,1,0,1
393,390,0,3,0,3
323,318,3,2,1,1
305,287,16,2,1,1
723,669,50,4,2,2
864,818,43,3,2,1
200,193,5,2,1,1
360,352,6,2,1,1
255,222,31,2,1,1
312,263,47,2,1,1
219,189,28,2,1,1
447,376,68,3,1,2
367,357,9,1,0,1
777,712,61,4,3,1
128,104,22,2,1,1
432,398,32,2,1,1
770,658,110,2,1,1
676,551,120,5,3,2
414,382,29,3,2,1
16,16,0,0,0,0
15,15,0,0,0,0
738,721,15,2,1,1
611,603,3,5,4,1
1839,1816,20,3,1,2
319,318,0,1,0,1
162,159,1,2,1,1
104,103,0,1,0,1
132,114,12,6,5,1
66,51,9,6,5,1
312,165,135,12,10,2
81,29,38,14,12,2
352,239,98,15,12,3
