tandem	total
41	97
306	738
87	149
134	352
317	398
303	447
139	298
108	255
159	305
84	171
64	125
8	15
57	95
154	247
94	166
89	167
191	256
97	166
90	193
90	664
8	42
221	297
45	302
69	487
105	348
168	344
146	287
176	270
176	360
45	105
30	107
24	42
94	135
70	191
48	75
9	30
33	57
1	13
106	166
440	697
425	803
77	117
174	270
209	844
227	397
236	430
193	270
254	716
5	42
347	434
296	432
313	414
56	84
222	393
129	277
145	302
17	47
274	522
34	89
47	109
178	294
511	820
124	343
250	464
127	285
122	322
261	435
107	208
233	453
163	330
301	504
88	415
84	133
245	362
295	387
137	391
248	498
580	1051
55	218
90	247
83	160
98	474
70	151
72	168
76	97
95	219
455	795
165	325
56	81
227	306
226	432
576	1317
316	445
103	167
57	145
107	541
156	448
246	661
241	562
50	73
45	131
9	17
397	2298
